A_qso chisq
2.934587 1.078880
1.590256 1.322671
6.558096 3.098784
3.146012 0.973047
0.768302 1.099134
2.203177 1.231441
0.268046 0.963144
0.883503 1.151932
4.091539 0.772313
5.027068 1.693161
0.663929 1.256891
1.587584 1.090238
1.254993 0.821124
0.878353 1.007453
1.636436 1.306207
5.977499 2.213276
0.947709 0.949064
2.800720 1.553204
3.538234 1.144341
2.916193 0.835300
0.452819 1.036172
4.134880 3.141313
1.275500 2.633831
3.153846 1.020637
1.637112 0.864735
0.502691 1.182396
1.351276 1.062908
0.542540 0.960296
1.557569 1.270058
1.887765 0.927973
7.355177 2.333720
1.750634 0.878521
0.629996 2.825196
0.984677 1.512094
3.641121 0.977786
2.255635 1.505323
0.860403 1.100688
2.051144 1.126299
3.662357 1.565665
0.680552 2.117815
1.373193 0.908027
0.691247 0.940738
0.514185 0.962358
7.392595 2.948167
0.658886 0.860518
5.636377 1.692250
1.093143 0.871604
0.828836 1.934439
2.748759 3.433908
2.322084 1.325879
1.283644 1.079238
1.328824 1.588828
3.977986 1.018615
0.441867 1.941091
1.728577 0.904984
1.374745 0.828890
0.732092 1.148917
3.050699 1.019706
3.260113 1.349323
5.968191 0.842259
4.385130 0.900539
0.894715 1.207547
2.640387 0.966220
1.378335 1.001621
1.143402 0.926801
1.104691 0.925596
2.247028 1.803799
3.742099 0.859624
0.413135 0.983113
2.637722 0.754980
3.579440 1.444894
0.357102 1.012096
6.668730 2.593646
2.077661 1.526675
1.138963 1.264162
2.578872 2.179919
1.689658 0.958147
0.265435 1.218963
1.952231 0.837753
1.338565 1.384782
1.072798 1.607590
1.005419 1.651118
0.719405 0.996733
1.543582 1.697973
1.647903 1.059685
3.292653 5.645459
1.536955 1.017549
1.624705 1.329046
0.518077 1.036544
1.181681 1.053933
1.293344 1.882970
6.792675 0.816274
0.695919 0.947122
2.052050 0.935894
0.828045 1.395911
0.978145 0.893958
11.439141 1.394209
1.459569 1.223936
4.736291 1.328311
14.746368 0.881713
0.785549 1.481262
2.251363 1.329936
1.140371 1.063155
2.765972 1.270639
0.797868 1.020997
4.172187 1.045293
0.640216 0.943713
0.845452 1.399117
0.427011 0.931754
1.568473 1.694281
1.306018 1.376760
1.887438 1.444880
0.535543 1.031299
1.010286 1.173348
2.925053 1.758971
0.711681 0.978174
0.589069 0.949458
1.089747 0.952262
3.858484 1.418582
1.794097 1.043847
1.541105 1.483665
1.037795 0.964807
4.676154 1.100607
4.966627 1.030439
3.737013 1.069915
2.480890 1.169598
1.743521 0.779520
8.624969 0.640274
0.769015 1.224461
2.825237 0.632927
3.167936 0.877461
0.730161 0.932994
0.772741 1.556593
0.489338 1.021026
0.823122 1.206113
7.682027 2.285457
5.838423 1.050355
0.947305 1.164217
0.942977 1.110263
8.753416 1.216691
1.870787 0.858475
1.284581 1.143716
3.478063 0.815161
0.785065 0.933908
1.469837 1.513794
0.575030 1.054088
1.802629 1.597932
0.597177 1.265153
0.479622 0.984268
22.960043 14.393847
0.416439 1.179378
1.432829 1.969615
1.467775 1.138625
14.915276 0.570758
0.862209 1.076985
3.713760 2.665399
1.171409 0.960020
1.318723 1.446331
0.662954 1.674853
4.879085 0.917131
0.529564 0.918000
0.900085 1.017726
0.637796 0.953869
1.557027 1.767532
8.348385 2.242665
2.033932 1.243996
1.536351 0.955636
1.448537 0.979735
0.659184 1.009586
2.545130 0.912286
1.551089 1.021713
0.661295 1.077262
5.268056 2.552610
0.869571 1.142134
1.368944 0.993556
1.124511 1.212477
2.497054 1.888716
4.117583 2.125340
4.991695 1.443897
2.217110 1.719992
3.163494 1.515724
1.706414 1.153384
0.691860 1.002271
0.605755 1.304472
0.539412 0.963699
0.600317 1.041033
1.410078 1.432762
1.244773 0.876444
0.823756 1.265584
2.143288 0.961716
15.689126 0.372414
1.371933 0.994911
0.311069 0.984094
2.505042 1.158040
0.776377 1.237060
9.603383 0.584829
1.118756 0.874199
0.804089 1.079556
1.399497 0.898321
3.906882 1.189863
1.624867 5.799103
0.802627 1.112495
12.621753 0.798505
2.633115 1.456073
1.366762 0.917891
1.927650 0.918890
2.080787 0.868841
0.690837 0.887539
2.518384 1.077774
1.357285 1.030155
3.889676 1.606010
3.033840 1.921495
1.245304 0.916898
1.052762 1.442617
0.949699 0.949562
7.089272 1.869309
0.691205 0.920281
0.264871 0.965606
0.919763 0.937907
5.488245 1.025266
1.093477 0.943388
6.526996 2.183656
4.280919 0.751232
1.750260 0.834401
4.752518 5.495098
6.195014 1.447798
2.335222 1.035209
4.408065 0.736146
2.688533 0.836592
3.443231 1.137236
38.483600 0.508864
1.709999 1.163796
2.004056 0.851082
1.428751 0.983099
0.879048 0.894515
0.632513 1.137329
1.965408 0.928936
0.654825 1.422393
0.458328 1.212829
2.021401 2.234137
9.366313 0.680300
2.342558 0.999152
0.536237 1.022350
4.177691 1.305907
1.884914 2.097177
1.996506 1.027056
0.305951 1.127225
1.437769 0.835019
0.973022 1.016271
3.214229 1.148419
6.806467 0.740180
3.150450 1.273869
1.021886 1.065339
4.909048 7.495866
0.624538 1.216112
0.948419 1.320481
1.813688 0.981272
0.591666 1.299498
