A_qso chisq
1.381016 1.773994
0.887951 1.075470
2.602216 0.852648
1.784737 1.117394
17.008534 0.971060
1.554723 1.305464
4.874521 1.329431
0.839796 1.162116
1.426934 1.599115
1.055048 1.174467
1.586027 1.390517
1.490503 1.656621
0.426901 1.064661
2.402719 0.887101
4.453623 1.066543
2.511575 1.112915
1.511528 1.060525
2.037678 1.109904
1.665484 1.247066
0.704015 1.045154
2.166280 0.810079
1.460691 1.286131
1.951120 1.669216
1.021571 1.102031
0.941570 1.338508
1.120146 0.984547
2.550497 0.720496
0.861047 1.032166
4.879752 5.089879
1.008963 1.544090
2.323211 0.879940
1.617216 1.283819
1.394922 1.170490
5.275353 4.207857
0.138159 1.227481
0.916684 1.135215
9.698436 6.160372
1.177548 1.047730
3.200412 1.499648
1.501395 0.887371
0.967230 0.957873
2.048622 0.704793
10.153764 1.039409
12.905827 0.435269
1.264248 0.895306
4.416373 1.254657
1.491951 1.010551
0.509543 1.151568
1.467754 0.732198
0.886120 1.162613
1.904517 0.865770
1.223171 0.911756
0.938652 0.983787
0.321601 0.960025
1.331994 1.126693
1.255737 1.150877
1.036719 0.987396
11.736547 0.443349
0.443053 0.883470
0.536567 1.201548
12.256069 1.227182
0.977869 1.045295
0.945535 1.231260
2.589001 0.994086
3.675451 0.800368
0.373762 1.008441
3.546819 1.441561
3.526554 2.147259
1.363977 1.394156
15.280010 5.418479
2.234567 0.815689
0.503340 2.168651
0.528950 1.535117
0.458511 1.109150
0.941093 1.286082
0.829801 1.004744
1.691858 0.921184
0.969452 0.812506
3.604500 0.839841
0.715528 1.304773
1.043732 2.030680
0.801149 1.172895
0.925213 0.987031
2.604741 0.850537
2.550223 0.876210
1.073409 1.019652
0.688894 1.623315
0.838101 1.067852
0.654039 1.011356
1.213043 1.262320
1.412053 1.023305
1.823768 1.191051
3.598967 0.740936
0.634507 1.063835
2.928720 1.102194
1.592240 1.331299
6.551853 3.109225
3.138901 0.978194
0.772369 1.130280
2.203407 1.238906
0.265535 0.967145
0.880136 1.153118
4.087201 0.766998
5.020633 1.659472
0.657839 1.272144
1.583311 1.099130
1.253036 0.818083
0.873713 1.012203
1.636776 1.297002
5.967821 2.261204
0.942048 0.960643
2.803302 1.709526
3.531447 1.160437
2.911183 0.835164
0.452945 1.035867
4.134229 3.096274
1.280511 2.659243
3.146080 1.056950
1.636960 0.878710
0.500916 1.179531
1.349542 1.060276
0.538415 0.967391
1.556065 1.257650
1.881540 0.946753
7.347835 2.293790
1.742205 0.897168
0.631725 2.942185
0.983837 1.509754
3.637783 0.964962
2.246294 1.546848
0.860401 1.099381
2.045417 1.141666
3.658227 1.548300
0.680370 2.134951
1.368501 0.905074
0.690535 0.940084
0.513410 0.958471
7.383598 3.012848
0.656118 0.858107
5.634811 1.695388
1.089869 0.869233
0.833809 1.984071
2.749995 3.500507
2.317376 1.359782
1.281490 1.068448
1.327003 1.562701
3.971851 1.026845
0.446874 2.048203
1.726582 0.902115
1.372739 0.822935
0.727174 1.157668
3.044612 1.029475
3.248968 1.399039
5.956652 0.850638
4.379248 0.901957
0.896689 1.216952
2.634008 0.987055
1.377056 0.995998
1.141940 0.924908
1.103461 0.921584
2.238474 1.840344
3.734073 0.856448
0.412105 0.982713
2.630218 0.776609
3.575640 1.397358
0.356247 1.011136
6.661787 2.630994
2.072249 1.541232
1.137362 1.260346
2.574326 2.172527
1.683946 0.976623
0.269401 1.259159
1.950410 0.835887
1.334292 1.372424
1.068311 1.610683
1.007086 1.758229
0.717505 0.986786
1.545919 1.720081
1.641026 1.079258
3.283709 5.712985
1.534307 1.017728
1.619730 1.339809
0.515147 1.047276
1.178203 1.042874
1.284897 1.958564
6.783418 0.836681
0.693666 0.946465
2.048590 0.926940
0.827086 1.385509
0.974371 0.898176
11.415035 1.452690
1.456490 1.230185
4.731282 1.297527
14.733310 0.893717
0.787728 1.545574
2.248845 1.316972
1.141408 1.062430
2.758343 1.260929
0.795988 1.015121
4.164788 1.066669
0.637451 0.946957
0.849535 1.471071
0.425883 0.926736
1.567430 1.691193
1.307319 1.384213
1.878265 1.461255
0.532434 1.034218
1.009373 1.171528
2.915864 1.795098
0.716313 1.030530
0.584857 0.963710
1.082908 0.958492
3.853504 1.438737
1.791113 1.033178
1.535796 1.538317
1.033335 0.966266
4.668832 1.099540
4.962248 1.018676
3.733943 1.056916
2.475969 1.162505
1.737405 0.790485
8.616723 0.660153
0.768436 1.222827
2.819886 0.636562
3.161937 0.882512
0.729838 0.932404
0.773137 1.563614
0.486699 1.029512
0.827121 1.265628
7.665028 2.363299
5.831926 1.055238
0.943178 1.162089
0.941477 1.104222
8.739346 1.271816
1.865556 0.853501
1.279917 1.149631
3.473230 0.816241
0.781084 0.934474
1.468658 1.504708
0.574076 1.055194
1.800119 1.575325
0.594646 1.271571
0.478498 0.982506
22.942866 14.465989
0.416990 1.182277
1.431048 1.960506
1.465240 1.131926
14.898097 0.597977
0.855781 1.097592
3.710617 2.619096
1.168955 0.960320
1.317360 1.439721
0.664356 1.697007
4.875697 0.899695
0.528585 0.916637
0.901495 1.072903
0.639596 0.960541
1.545025 1.829156
8.340340 2.284795
2.030261 1.250138
1.533804 0.955540
1.446643 0.979625
0.658431 1.002479
2.540956 0.919025
1.548533 1.008523
0.658236 1.079256
5.255652 2.575528
0.866434 1.148755
1.361166 1.009970
1.120427 1.222687
2.494603 1.886680
4.111617 2.116651
4.984490 1.417124
2.210384 1.723484
3.160203 1.497766
1.706174 1.149919
0.690975 1.001422
0.609672 1.403474
0.534796 0.975800
0.604871 1.073846
1.404262 1.453120
1.236005 0.872462
0.824165 1.270176
2.140171 0.965069
15.675475 0.361752
1.368549 0.982910
0.309554 0.982474
2.500169 1.160042
0.779761 1.299915
9.595286 0.577518
1.112474 0.882613
0.803173 1.074928
1.396730 0.895366
3.900092 1.201496
1.631514 6.031468
0.802707 1.110248
12.608825 0.809758
2.628350 1.442021
1.356359 0.957092
1.924597 0.911918
2.075402 0.874854
0.688155 0.889133
2.511022 1.074788
1.353936 1.034812
3.880137 1.635278
3.029931 1.905799
1.240816 0.921569
1.050587 1.440385
0.947796 0.941710
7.085360 1.842098
0.688224 0.923151
0.264025 0.965293
0.915647 0.947146
5.481578 1.046879
1.087569 0.946611
6.520104 2.125828
4.269647 0.750740
1.742320 0.839354
4.740804 5.610163
6.186456 1.493372
2.330775 1.039345
4.402001 0.716600
2.684205 0.838609
3.434156 1.116020
38.447076 0.462735
1.705685 1.144754
1.999592 0.843409
1.424394 0.978203
0.876806 0.893314
0.631770 1.142076
1.959693 0.939429
0.661797 1.551392
0.455792 1.211149
2.010126 2.319984
9.354152 0.714808
2.334553 1.023522
0.534297 1.023524
4.170995 1.324384
1.882913 2.055173
1.991730 1.041862
0.304701 1.129238
1.435461 0.833925
0.970602 1.019628
3.209413 1.162867
6.797086 0.749598
3.144280 1.284660
1.017168 1.071162
4.902411 7.569029
0.628384 1.251438
0.942672 1.339024
1.809130 0.996590
0.596094 1.426810
8.644475 1.636892
1.326293 1.586919
3.818380 1.919011
0.519634 0.958234
3.113302 2.632079
2.799601 0.868568
4.371132 1.213958
2.534043 0.920667
1.600445 1.084261
3.464118 1.481378
0.555927 1.314481
2.195079 1.617626
0.387995 0.984645
2.101610 1.180749
1.841987 0.884308
3.012177 0.879621
1.943875 1.859562
0.775682 1.002785
0.959623 1.168379
3.581477 0.688214
1.068751 0.958718
2.350454 0.795150
7.154823 0.870591
1.546575 1.123946
3.672119 0.689590
1.200207 2.119095
4.431258 1.212037
0.811135 1.156031
1.785174 1.021721
1.594744 1.276236
0.964472 1.374223
0.419300 1.054379
3.853967 1.164423
12.443633 0.850403
1.030645 1.471102
0.480591 1.167488
1.406756 0.984973
3.384375 1.189854
0.443951 1.952504
2.456727 2.772683
0.903250 1.114524
0.534380 1.026940
0.908290 1.565541
0.992852 0.936217
1.523643 1.347561
2.323049 1.225165
1.680165 1.047378
7.286001 1.132585
1.119372 0.904819
7.820943 1.281028
0.793709 1.138920
2.071979 1.932662
0.565799 1.064902
0.475781 1.535892
1.570161 1.038667
0.762503 0.980745
0.988829 1.075280
0.600769 1.173999
0.579727 1.063489
1.163232 1.276512
1.663519 1.005625
1.299222 0.855746
0.575517 0.814837
9.686957 1.269336
1.177707 1.223516
0.680025 0.834224
0.676919 1.029675
1.656573 1.689723
1.143333 1.243928
2.730529 0.835935
1.280013 0.988093
3.340101 1.289031
0.944390 0.816435
1.012321 0.953495
